track__valence,track__tempo,track__speechiness,track__danceability,track__liveness,velocity,median_popularity,mean_popularity,std_popularity,trend,retrieval_frequency,current_popularity
0.861,172.638,0.0479,0.61,0.0821,0.0,89.0,88.97590361445783,0.9180375036890959,0,0,87
0.782,173.083,0.0291,0.473,0.19,0.0,85.0,84.90721649484536,0.2901288098859853,0,0,85
0.755,122.658,0.0662,0.813,0.0757,0.0,72.0,72.0625,0.7043392293490403,0,0,71
0.352,160.017,0.0341,0.645,0.0908,0.0,87.0,87.45333333333333,0.8686131986614576,0,0,86
0.721,112.964,0.064,0.674,0.297,0.0,95.0,95.46808510638297,0.49898039998121596,0,0,95
0.696,119.944,0.0367,0.851,0.0936,0.0,82.0,81.90666666666667,0.9956349174717051,0,0,80
0.448,141.512,0.0339,0.606,0.106,0.0,83.0,83.01333333333334,0.6216823054333209,0,0,82
0.403,98.217,0.0262,0.404,0.0938,0.0,79.0,79.45588235294117,0.49804983005517944,0,0,79
0.736,209.942,0.563,0.64,0.113,0.0,73.0,72.69642857142857,0.9242688781862525,0,0,71
0.203,140.06,0.368,0.891,0.133,0.0,79.0,79.10714285714286,0.587931344041226,0,0,78
0.58,133.921,0.0434,0.709,0.0585,0.0,68.0,67.5625,0.49607837082461076,0,0,67
0.46,126.078,0.102,0.871,0.113,0.0,81.0,81.11111111111111,0.8089010988089465,0,0,80
0.669,99.986,0.0509,0.791,0.0899,0.0,91.0,90.76785714285714,0.9447424333150928,0,0,89
0.627,100.104,0.0929,0.79,0.213,0.0,71.0,70.84375,0.9051717723725149,0,0,69
0.558,136.48,0.101,0.741,0.403,0.0,69.0,69.25,0.7133922984085064,0,0,68
0.515,100.002,0.0711,0.931,0.134,0.0,79.0,78.82051282051282,1.3276506118973965,0,0,77
0.465,94.997,0.0853,0.884,0.0651,0.0,48.0,47.21875,3.285711252910091,0,0,41
0.244,172.09,0.0488,0.625,0.375,0.0,84.0,83.51807228915662,0.49967328562235475,0,0,83
0.614,135.07,0.245,0.866,0.0297,0.0,75.0,75.25,1.1839703181607697,0,0,73
0.311,148.144,0.159,0.594,0.339,0.0,61.5,61.125,3.059309562630104,0,0,55
0.252,112.789,0.189,0.614,0.263,0.0,73.0,73.125,1.0231690964840563,0,0,71
0.194,146.003,0.175,0.62,0.269,0.0,81.0,80.92857142857143,0.7759128922285868,0,0,80
0.886,140.113,0.204,0.882,0.119,0.0,85.0,85.0625,1.0288798520721456,0,0,83
0.402,127.967,0.0651,0.648,0.14,0.0,49.0,48.464285714285715,3.2785247428982323,0,0,42
0.443,148.035,0.0345,0.527,0.403,0.0,87.0,86.96428571428571,0.7550848039952134,0,0,86
0.527,145.031,0.274,0.811,0.127,0.0,74.0,73.78125,0.8921314014762624,0,0,72
0.253,158.105,0.0561,0.65,0.114,0.0,78.0,78.1875,0.8076779989575054,0,0,77
0.0743,121.964,0.0969,0.781,0.0981,0.0,74.0,74.18181818181819,0.6899514894912827,0,0,73
0.619,171.829,0.0349,0.566,0.124,0.0,39.0,38.54838709677419,3.003639831479943,0,0,33
0.457,122.863,0.0563,0.707,0.138,0.0,76.0,76.0,0.0,0,0,76
0.739,114.935,0.0522,0.756,0.108,0.0,90.0,89.83870967741936,0.8834234798470422,0,0,88
0.704,145.212,0.169,0.624,0.258,0.0,73.0,72.7741935483871,0.9055270224269805,0,0,71
0.497,136.005,0.0322,0.673,0.151,0.0,72.0,71.2258064516129,3.318663522480435,0,0,65
0.346,121.889,0.26,0.49,0.128,0.0,78.0,77.51612903225806,0.4997397866074086,0,0,78
0.31,119.996,0.0462,0.704,0.159,0.0,85.0,84.65517241379311,0.47531202593414557,-1,0,84
0.844,151.019,0.301,0.788,0.311,0.0,83.0,83.13414634146342,1.1236069437085325,-1,0,81
0.606,104.983,0.0568,0.943,0.0937,0.0,82.0,81.75757575757575,0.7666127661014253,-1,0,81
0.732,99.968,0.174,0.868,0.0901,0.0,80.0,79.87878787878788,0.7145349165182785,-1,0,79
0.416,169.982,0.0946,0.628,0.219,0.0,79.0,79.3170731707317,0.6603407985697992,-1,0,78
0.422,141.904,0.0375,0.638,0.113,0.0,83.0,83.07407407407408,0.6339719543934701,-1,0,83
0.134,77.002,0.0298,0.583,0.121,0.0,50.0,49.75438596491228,3.0965782006572145,-1,0,43
0.726,120.018,0.0331,0.783,0.347,0.0,25.5,25.536585365853657,1.2991096571303196,-1,0,23
0.136,76.908,0.454,0.522,0.0751,0.0,51.0,49.294117647058826,2.3330037664766987,1,0,51
0.706,139.057,0.201,0.918,0.0615,0.0,80.5,80.625,0.6959705453537527,-1,0,80
0.808,129.981,0.0995,0.631,0.0639,0.0,79.0,78.86206896551724,0.34482758620689646,1,0,79
0.417,116.049,0.0686,0.825,0.285,0.0,65.0,64.72413793103448,0.9430892642191271,-1,0,63
0.646,117.999,0.0668,0.707,0.0322,0.0,31.0,30.875,2.047610395884269,-1,0,27
0.153,94.467,0.0322,0.515,0.25,0.0,78.0,77.62068965517241,0.48521542343001,-1,0,77
0.248,120.048,0.0285,0.594,0.317,0.0,77.0,76.6896551724138,0.46263475396547366,-1,0,76
0.288,132.023,0.0254,0.574,0.128,0.0,33.0,33.074074074074076,0.261891400439462,-1,0,33
0.599,105.004,0.146,0.948,0.0504,0.0,69.0,69.41666666666667,0.49300664859163473,-1,0,69
0.368,116.931,0.0355,0.755,0.18,0.0,84.0,84.36,0.48,-1,0,84
0.705,150.094,0.237,0.619,0.468,0.0,62.0,62.0,0.0,0,0,62
0.576,77.468,0.0666,0.572,0.339,0.0,35.0,31.0,9.260923597695477,1,0,38
0.382,164.976,0.136,0.592,0.104,0.0,27.0,27.0,0.0,0,0,27
0.0987,115.003,0.0538,0.571,0.121,0.0,21.0,20.615384615384617,0.6249260311258431,1,0,21
0.3,80.046,0.0247,0.557,0.262,0.0,40.0,39.82142857142857,0.38299304624155744,1,0,40
0.318,169.93,0.0357,0.467,0.12,0.0,58.0,58.03448275862069,0.668645497574666,-1,0,57
0.498,81.001,0.1,0.684,0.191,0.0,86.0,86.22222222222223,0.49690399499995325,-1,0,85
0.498,102.991,0.206,0.929,0.105,0.0,65.0,65.3103448275862,0.747568392713062,-1,0,64
0.323,100.007,0.0485,0.654,0.148,0.0,29.0,28.379310344827587,1.2707259153578123,-1,0,26
0.224,131.007,0.0707,0.719,0.318,0.0,77.0,77.39393939393939,0.4886216817150637,-1,0,77
0.304,128.04,0.0343,0.561,0.371,0.0,87.0,86.80555555555556,0.7195463248327011,-1,0,86
0.418,88.98,0.0391,0.644,0.161,0.0,87.0,86.54166666666667,0.4982608642958916,-1,0,86
0.434,116.028,0.0494,0.813,0.0985,0.0,66.0,66.10344827586206,0.6614940032155475,-1,0,65
0.69,168.955,0.0357,0.686,0.383,0.0,74.0,73.94444444444444,0.6849348892187752,-1,0,73
0.49,96.888,0.062,0.633,0.161,0.0,83.0,83.26829268292683,0.6448441008001115,-1,0,82
0.131,139.614,0.0625,0.418,0.216,0.0,69.0,69.42592592592592,0.4944825897340255,-1,0,69
0.44,99.998,0.0291,0.591,0.113,0.0,75.0,75.0,0.0,0,0,75
