track__valence,track__tempo,track__speechiness,track__danceability,track__liveness,velocity,median_popularity,mean_popularity,std_popularity,trend,retrieval_frequency,current_popularity
0.33,171.005,0.059,0.53,0.0902,0.0,98.0,98.0,0.0,0,0,98
0.56,169.928,0.0996,0.53,0.33,0.0,95.0,95.0,0.0,0,0,95
0.438,104.978,0.0358,0.747,0.117,0.0,99.0,98.72173913043478,0.7168509163660851,0,0,98
0.788,167.033,0.0442,0.739,0.0948,0.0,85.0,85.02197802197803,0.1466116930123773,0,0,86
0.717,126.98,0.0327,0.741,0.125,0.0,90.0,89.98529411764706,0.9313596490334713,0,0,88
0.579,107.071,0.054,0.669,0.104,-0.010869565217391304,95.0,94.35365853658537,1.3468296216464053,-1,0,91
0.535,157.969,0.0304,0.521,0.122,0.0,100.0,99.90123456790124,0.2983468141628289,0,0,100
0.786,112.966,0.0634,0.67,0.304,0.0,83.0,82.64516129032258,0.47846441852230076,0,0,82
0.785,116.712,0.0356,0.7,0.0881,0.0,96.0,96.17073170731707,0.6589881017612828,0,0,95
0.618,130.019,0.0983,0.776,0.0761,-0.011111111111111112,91.0,91.1747572815534,0.7811764151414152,-1,0,89
0.604,81.012,0.0273,0.722,0.0804,0.0,89.0,89.20454545454545,0.7856539098838002,0,0,88
0.69,103.969,0.0285,0.701,0.185,0.0,96.0,95.71951219512195,1.271396296413595,0,0,93
0.934,117.038,0.0412,0.741,0.0398,0.0,80.0,80.16363636363636,0.8037104038291035,0,0,79
0.731,127.986,0.0264,0.638,0.245,0.0,88.0,88.29032258064517,1.2493494665185216,0,0,86
0.544,181.489,0.0687,0.432,0.0933,0.0,89.0,88.56363636363636,0.49593387989039484,0,0,88
0.957,139.982,0.0421,0.742,0.305,0.0,91.0,91.0909090909091,0.7204222820421438,0,0,90
0.962,126.035,0.034,0.804,0.114,0.0,88.0,87.808,0.9773105954608289,0,0,86
0.927,138.003,0.0436,0.849,0.068,-0.019230769230769232,57.5,57.30681818181818,3.123801423038685,-1,0,51
0.22,129.994,0.0502,0.701,0.15,0.0,85.0,85.25,0.7288689868556626,0,0,84
0.332,123.994,0.0295,0.635,0.11,0.0,91.0,90.8125,0.7473912964438374,0,0,90
