track__valence,track__tempo,track__speechiness,track__danceability,track__liveness,velocity,median_popularity,mean_popularity,std_popularity,trend,retrieval_frequency,current_popularity
0.33,171.005,0.059,0.53,0.0902,0.0,98.0,98.0,0.0,0,0,98
0.56,169.928,0.0996,0.53,0.33,0.0,95.0,95.0,0.0,0,0,95
0.438,104.978,0.0358,0.747,0.117,0.0,99.0,98.84347826086956,0.7528647242404646,-1,0,98
0.788,167.033,0.0442,0.739,0.0948,0.0,85.0,84.96666666666667,0.1795054935711501,1,0,85
0.717,126.98,0.0327,0.741,0.125,-0.011235955056179775,90.0,90.15942028985508,0.8948028429236597,-1,0,88
0.579,107.071,0.054,0.669,0.104,0.0,95.0,94.57831325301204,1.2526644559585574,-1,0,92
0.535,157.969,0.0304,0.521,0.122,0.0,100.0,99.84810126582279,0.3589227057913375,1,0,100
0.786,112.966,0.0634,0.67,0.304,0.0,83.0,82.73333333333333,0.4422166387140533,-1,0,82
0.785,116.712,0.0356,0.7,0.0881,0.0,96.0,96.27710843373494,0.6269692448798885,-1,0,95
0.618,130.019,0.0983,0.776,0.0761,0.0,91.0,91.29411764705883,0.7220373584126263,-1,0,90
0.604,81.012,0.0273,0.722,0.0804,0.0,89.0,89.33333333333333,0.7376051129716987,-1,0,88
0.69,103.969,0.0285,0.701,0.185,0.0,96.0,95.92771084337349,1.1384107769655631,-1,0,93
0.934,117.038,0.0412,0.741,0.0398,0.0,80.0,80.27272727272727,0.7735289958611872,-1,0,79
0.731,127.986,0.0264,0.638,0.245,0.0,89.0,88.63333333333334,1.0796089827134432,-1,0,86
0.544,181.489,0.0687,0.432,0.0933,0.0,89.0,88.61818181818182,0.4858323351231778,-1,0,88
0.957,139.982,0.0421,0.742,0.305,0.0,91.0,91.2,0.6980492298346352,-1,0,90
0.962,126.035,0.034,0.804,0.114,0.0,88.0,88.0,0.8777766249329544,-1,0,86
0.927,138.003,0.0436,0.849,0.068,0.0,58.0,58.01149425287356,3.02667927312769,-1,0,52
0.22,129.994,0.0502,0.701,0.15,0.0,85.5,85.41935483870968,0.6362284813972908,-1,0,84
0.332,123.994,0.0295,0.635,0.11,0.0,91.0,90.96774193548387,0.7613176594326417,-1,0,90
