track__valence,track__tempo,track__speechiness,track__danceability,track__liveness,velocity,median_popularity,mean_popularity,std_popularity,trend,retrieval_frequency,current_popularity
0.33,171.005,0.059,0.53,0.0902,0.0,98.0,98.0,0.0,0,0,98
0.56,169.928,0.0996,0.53,0.33,0.0,95.0,95.0,0.0,0,0,95
0.438,104.978,0.0358,0.747,0.117,0.0,99.0,99.04580152671755,0.799452058722812,-1,0,98
0.788,167.033,0.0442,0.739,0.0948,0.0,85.0,84.8,0.3999999999999999,1,0,85
0.717,126.98,0.0327,0.741,0.125,0.0,91.0,90.48101265822785,1.0170789583088948,-1,0,89
0.579,107.071,0.054,0.669,0.104,0.0,95.0,94.87234042553192,1.1781164425452875,-1,0,92
0.535,157.969,0.0304,0.521,0.122,0.0,100.0,99.6867469879518,0.5997531790194526,1,0,100
0.786,112.966,0.0634,0.67,0.304,0.0,83.0,82.8,0.4,-1,0,82
0.785,116.712,0.0356,0.7,0.0881,0.0,96.0,96.42553191489361,0.5923153577478746,-1,0,95
0.618,130.019,0.0983,0.776,0.0761,0.0,92.0,91.41592920353982,0.6877649284150601,-1,0,90
0.604,81.012,0.0273,0.722,0.0804,0.0,90.0,89.46938775510205,0.6881516449015251,-1,0,88
0.69,103.969,0.0285,0.701,0.185,0.0,97.0,96.17021276595744,1.0172794117346315,-1,0,94
0.934,117.038,0.0412,0.741,0.0398,0.0,81.0,80.40983606557377,0.7327703815943282,-1,0,79
0.731,127.986,0.0264,0.638,0.245,0.0,89.0,89.05714285714286,1.2636196792854848,-1,0,87
0.544,181.489,0.0687,0.432,0.0933,0.0,89.0,88.68852459016394,0.46309661940411584,-1,0,88
0.957,139.982,0.0421,0.742,0.305,0.0,91.0,91.34426229508196,0.6747251025330059,-1,0,90
0.962,126.035,0.034,0.804,0.114,0.0,88.0,88.17557251908397,0.814758110786341,-1,0,87
0.927,138.003,0.0436,0.849,0.068,0.0,59.0,59.01020408163265,3.305823241688742,-1,0,53
0.22,129.994,0.0502,0.701,0.15,0.0,86.0,85.55555555555556,0.5746711351549223,-1,0,84
0.332,123.994,0.0295,0.635,0.11,0.0,91.0,91.16666666666667,0.7817359599705717,-1,0,90
