track__energy,track__valence,track__tempo,track__speechiness,track__danceability,track__liveness,velocity,median_popularity,mean_popularity,std_popularity,trend,retrieval_frequency,current_popularity
0.745,0.262,180.098,0.161,0.464,0.363,0.0,86.0,86.33333333333333,0.8422598823413765,0,0,85
0.531,0.209,81.036,0.207,0.892,0.0824,0.0,81.0,80.85185185185185,0.8143938306405936,0,0,80
0.756,0.838,116.034,0.032,0.66,0.193,0.0,92.0,92.03448275862068,0.18246560765962697,0,0,92
0.926,0.861,172.638,0.0479,0.61,0.0821,0.0,85.0,85.37179487179488,0.4832840211530965,0,0,85
0.621,0.782,173.083,0.0291,0.473,0.19,0.0,84.0,84.32710280373831,0.4691551550658368,0,0,84
0.406,0.755,122.658,0.0662,0.813,0.0757,0.0,70.0,70.20689655172414,0.40508069394726653,0,0,71
0.634,0.352,160.017,0.0341,0.645,0.0908,0.0,84.0,84.42990654205607,0.6131296996955784,0,0,84
0.907,0.721,112.964,0.064,0.674,0.297,0.0,94.0,93.83177570093459,0.48309712087177886,0,0,93
0.652,0.696,119.944,0.0367,0.851,0.0936,0.0,78.0,77.74545454545455,0.7190443612103704,0,0,77
0.714,0.448,141.512,0.0339,0.606,0.106,0.0,80.0,80.38181818181818,0.4858323351231778,0,0,80
0.393,0.403,98.217,0.0262,0.404,0.0938,0.0,78.0,78.01818181818182,0.13360853142453696,0,0,78
0.673,0.736,209.942,0.563,0.64,0.113,0.0,70.0,70.05454545454545,0.22709083630539625,0,0,70
0.526,0.203,140.06,0.368,0.891,0.133,0.0,77.0,76.7090909090909,1.0899996208961353,0,0,75
0.589,0.58,133.921,0.0434,0.709,0.0585,0.0,66.0,65.96551724137932,0.18246560765962697,0,0,66
0.158,0.46,126.078,0.102,0.871,0.113,0.0,79.0,78.73076923076923,0.4435600997950307,0,0,79
0.499,0.669,99.986,0.0509,0.791,0.0899,0.0,87.0,87.44,0.4963869458396343,0,0,87
0.716,0.627,100.104,0.0929,0.79,0.213,0.0,70.0,70.1875,0.9164298936634487,0,0,69
0.451,0.558,136.48,0.101,0.741,0.403,0.0,67.0,67.08,0.2712931993250107,0,0,67
0.411,0.515,100.002,0.0711,0.931,0.134,0.0,74.0,74.37179487179488,0.4832840211530965,0,0,74
0.826,0.465,94.997,0.0853,0.884,0.0651,0.0,32.0,32.03448275862069,2.7099148557777246,0,0,28
0.733,0.244,172.09,0.0488,0.625,0.375,0.0,81.0,81.375,0.4841229182759271,0,0,81
0.741,0.614,135.07,0.245,0.866,0.0297,0.0,72.0,71.78181818181818,0.5621681757723748,0,0,71
0.811,0.311,148.144,0.159,0.594,0.339,0.0,47.0,46.724137931034484,2.448033013696393,0,0,43
0.463,0.252,112.789,0.189,0.614,0.263,0.0,69.0,69.51724137931035,0.5645070877153413,0,0,69
0.761,0.194,146.003,0.175,0.62,0.269,0.0,79.0,79.0,0.0,0,0,79
0.764,0.886,140.113,0.204,0.882,0.119,0.0,81.0,81.34482758620689,0.47531202593414557,0,0,81
