track__valence,track__tempo,track__speechiness,track__danceability,track__liveness,velocity,median_popularity,mean_popularity,std_popularity,trend,retrieval_frequency,current_popularity
0.33,171.005,0.059,0.53,0.0902,0.0,98.0,98.0,0.0,0,0,98
0.56,169.928,0.0996,0.53,0.33,0.0,95.0,95.0,0.0,0,0,95
0.438,104.978,0.0358,0.747,0.117,0.0,97.0,97.23148148148148,0.4217793323677915,0,0,97
0.788,167.033,0.0442,0.739,0.0948,0.0,86.0,85.51190476190476,0.4998582565527861,0,0,85
0.717,126.98,0.0327,0.741,0.125,0.0,86.0,86.55102040816327,0.6081495683980138,0,0,86
0.579,107.071,0.054,0.669,0.104,0.0,88.5,88.78205128205128,0.9008178036200599,0,0,88
0.535,157.969,0.0304,0.521,0.122,0.0,100.0,99.83333333333333,0.3726779962499649,0,0,100
0.786,112.966,0.0634,0.67,0.304,0.0,82.0,81.51724137931035,0.49970264642032547,0,0,81
0.785,116.712,0.0356,0.7,0.0881,0.0,94.0,94.1923076923077,0.39411349099844606,0,0,94
0.618,130.019,0.0983,0.776,0.0761,0.0,86.0,86.28571428571429,1.1187942975686411,0,0,85
0.604,81.012,0.0273,0.722,0.0804,0.0,87.0,86.79761904761905,0.5516158494382426,0,0,86
0.69,103.969,0.0285,0.701,0.185,0.0,91.0,90.76923076923077,0.8152878510556227,0,0,90
0.934,117.038,0.0412,0.741,0.0398,0.0,77.5,77.5,0.5,0,0,77
0.731,127.986,0.0264,0.638,0.245,0.0,85.0,84.72413793103448,0.6896551724137929,0,0,84
0.544,181.489,0.0687,0.432,0.0933,0.0,87.0,87.15217391304348,0.3591893835186588,0,0,87
0.957,139.982,0.0421,0.742,0.305,-0.011235955056179775,89.0,89.11111111111111,0.3685138655950445,-1,0,88
0.962,126.035,0.034,0.804,0.114,0.0,84.0,84.23364485981308,0.8039556324338903,0,0,83
0.927,138.003,0.0436,0.849,0.068,0.0,44.0,44.38095238095238,2.604505080052281,0,0,40
0.22,129.994,0.0502,0.701,0.15,0.0,83.0,83.13793103448276,0.34482758620689646,0,0,83
0.332,123.994,0.0295,0.635,0.11,0.0,89.0,88.57627118644068,0.49414846566485604,0,0,88
